Date,Type,NHS Area Code,ONS Code,Name,Total
12-2020,National,ENG,ENG,England,798386
12-2020,Region,Y56,E40000003,London,83168
12-2020,Region,Y58,E40000006,South West,95312
12-2020,Region,Y59,E40000005,South East,140628
12-2020,Region,Y60,E40000011,Midlands,137145
12-2020,Region,Y61,E40000007,East of England,73145
12-2020,Region,Y62,E40000010,North West,103777
12-2020,Region,Y63,E40000012,North East and Yorkshire,165211
12-2020,SUB ICB,00L,E38000130,NHS North East and North Cumbria ICB - 00L,12203
12-2020,SUB ICB,00N,E38000163,NHS North East and North Cumbria ICB - 00N,4814
12-2020,SUB ICB,00P,E38000176,NHS North East and North Cumbria ICB - 00P,10278
12-2020,SUB ICB,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,1976
12-2020,SUB ICB,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,3160
12-2020,SUB ICB,00T,E38000016,NHS Greater Manchester ICB - 00T,2120
12-2020,SUB ICB,00V,E38000024,NHS Greater Manchester ICB - 00V,3128
12-2020,SUB ICB,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,3214
12-2020,SUB ICB,00Y,E38000135,NHS Greater Manchester ICB - 00Y,4114
12-2020,SUB ICB,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,6596
12-2020,SUB ICB,01D,E38000080,NHS Greater Manchester ICB - 01D,3291
12-2020,SUB ICB,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,5264
12-2020,SUB ICB,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,2138
12-2020,SUB ICB,01G,E38000143,NHS Greater Manchester ICB - 01G,2142
12-2020,SUB ICB,01H,E38000215,NHS North East and North Cumbria ICB - 01H,5285
12-2020,SUB ICB,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,1034
12-2020,SUB ICB,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,9765
12-2020,SUB ICB,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,1074
12-2020,SUB ICB,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,1091
12-2020,SUB ICB,01W,E38000174,NHS Greater Manchester ICB - 01W,2516
12-2020,SUB ICB,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,1338
12-2020,SUB ICB,01Y,E38000263,NHS Greater Manchester ICB - 01Y,7213
12-2020,SUB ICB,02A,E38000187,NHS Greater Manchester ICB - 02A,6017
12-2020,SUB ICB,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,2124
12-2020,SUB ICB,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,5774
12-2020,SUB ICB,02H,E38000205,NHS Greater Manchester ICB - 02H,1912
12-2020,SUB ICB,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,4453
12-2020,SUB ICB,02P,E38000006,NHS South Yorkshire ICB - 02P,2943
12-2020,SUB ICB,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,973
12-2020,SUB ICB,02T,E38000025,NHS West Yorkshire ICB - 02T,4966
12-2020,SUB ICB,02X,E38000044,NHS South Yorkshire ICB - 02X,9469
12-2020,SUB ICB,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,3188
12-2020,SUB ICB,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,4174
12-2020,SUB ICB,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,5693
12-2020,SUB ICB,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,4196
12-2020,SUB ICB,03L,E38000141,NHS South Yorkshire ICB - 03L,4395
12-2020,SUB ICB,03N,E38000146,NHS South Yorkshire ICB - 03N,7138
12-2020,SUB ICB,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,9171
12-2020,SUB ICB,03R,E38000190,NHS West Yorkshire ICB - 03R,4205
12-2020,SUB ICB,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",6671
12-2020,SUB ICB,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",6349
12-2020,SUB ICB,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",2022
12-2020,SUB ICB,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,962
12-2020,SUB ICB,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,2157
12-2020,SUB ICB,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,4565
12-2020,SUB ICB,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,1011
12-2020,SUB ICB,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,4195
12-2020,SUB ICB,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,7877
12-2020,SUB ICB,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,3872
12-2020,SUB ICB,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,11689
12-2020,SUB ICB,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,2055
12-2020,SUB ICB,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,9864
12-2020,SUB ICB,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,4270
